"protein","uniprot_accession","ligand_code","ligand_name","contact_residues","pdb_ids","chembl_id","drugbank_id","cofactor_id","reaction_id","is_solvent","evidence_scope","source_url","retrieved_at_utc"
"TP53","P04637","ZN","ZINC ION","176;179;182;238;242;253;382","1GZH;1KZY;1MA3;1TSR;1TUP;1UOL;1YC5;1YCS;2AC0;2ADY;2AHI;2ATA;2BIM;2BIN;2BIO;2BIP;2BIQ;2FEJ;2H1L;2H2D;2H2F;2H4F;2H4H;2H4J;2H59;2J1W;2J1X;2J1Y;2J1Z;2J20;2J21;2MEJ;2OCJ;2PCX;2V5W;2VUK;2WGX;2X0U;2X0V;2X0W;2XWR;2YBG;37ZA;37ZR;3D05;3D06;3D07;3D08;3D09;3D0A;3IGK;3IGL;3KMD;3KZ8;3PDH;3Q01;3Q05;3Q06;3TS8;3ZME;4AGL;4AGM;4AGN;4AGO;4AGP;4AGQ;4BUZ;4BV2;4FZ3;4HJE;4IBQ;4IBS;4IBT;4IBU;4IBV;4IBW;4IBY;4IBZ;4IJT;4KVP;4LO9;4LOE;4LOF;4MZI;4MZR;4QO1;4RP7;4XR8;4ZZJ;5A7B;5AB9;5ABA;5AOI;5AOJ;5AOK;5AOL;5AOM;5BUA;5ECG;5G4M;5G4N;5G4O;5LAP;5LGY;5MCT;5MCU;5MCV;5MCW;5MF7;5MG7;5O1A;5O1B;5O1C;5O1D;5O1E;5O1F;5O1G;5O1H;5O1I;5OL0;6FF9;6FJ5;6GGA;6GGB;6GGC;6GGD;6GGE;6GGF;6LHD;6RZ3;6SHZ;6SI0;6SI1;6SI2;6SI3;6SI4;6SL6;6XRE;6ZNC;7B46;7B47;7B48;7B49;7B4A;7B4B;7B4C;7B4D;7B4E;7B4F;7B4G;7B4H;7B4N;7DHY;7DHZ;7DVD;7EAX;7EDS;7EEU;7V97;7YGI;8A31;8A32;8A92;8CG7;8DC4;8DC6;8DC7;8DC8;8E7A;8E7B;8GCR;8HLL;8HLM;8HLN;8J8N;8QWK;8QWL;8QWM;8QWN;8QWO;8QWP;8R1F;8R1G;8RBA;8RBB;8RBC;8RCI;8WD2;8XCB;8XCE;8XP5;9BR3;9BR4;9EK4;9FZB;9G5H;9G6T;9G6U;9S9L;9S9M;9S9N;9S9O;9S9P;9S9Q;9S9R;9SPM;9SPN;9SPO;9SPP;9SPQ;9SPR;9SPS;9SUK;9SZZ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","SAH","S-ADENOSYL-L-HOMOCYSTEINE","372","1XQH;3TG5","","","18","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","NCA","NICOTINAMIDE","382","1YC5;2H4J","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","OCZ","(1S)-6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1- carboxamide","382","4BUZ;4BV2","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","FOR","FORMYL GROUP","131;146","5MCT;5MCW","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","PO4","PHOSPHATE ION","115;116;117;282","7YGI;8WD2","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","CL","CHLORIDE ION","115;117;194;195;248;257;273;282","8QWN;9BR4;9EIQ;9EJD;9EK4;9YZH","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EPE","4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID","101;103;138;139;140;169;198;201;235;239;241;248;264;267;273;275;276","6GGB;6SI0;6SI1;8A92;8RBA;8RBB;8RBC;9G5H;9G6T;9G6U;9SUK;9SZZ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","QN8","(2~{R})-2-methyl-1-azabicyclo[2.2.2]octan-3-one","101;103;107;114;116;120;121;122;123;124;132;133;136;142;144;146;150;227;228;229;239;240;241;248;250;264;273;275;276;277;281","6ZNC;7B46;7B47;7B49;7B4B;7B4C;7B4D;7B4E;7B4H;7B4N","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","QNN","(2~{S})-2-methyl-1-azabicyclo[2.2.2]octan-3-one","107;110;111;114;116;120;121;123;124;132;142;144;146;182;227;228;229;239;240;241;248;250;273;274;275;276;277;285","6ZNC;7B46;7B47;7B48;7B49;7B4B;7B4C;7B4D;7B4E;7B4H;7B4N","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
